INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='1', species='Bulbasaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='1', name_1=Bulba, name_2=saur), Pokedex(id=None, pokedex_number='1', species='Bulbasaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='1', name_1=Bulba, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur), Pokedex(id=None, pokedex_number='1', species='Bulbasaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='1', name_1=Bulba, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur), Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur), Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur), Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur), Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur), Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur), Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur), Pokedex(id=None, pokedex_number='9', species='Blastoise', type_primary='Water', type_secondary='', family='7', family_order='3', name_1=Blast, name_2=toise)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur), Pokedex(id=None, pokedex_number='10', species='Caterpie', type_primary='Bug', type_secondary='', family='10', family_order='1', name_1=Cater, name_2=pie)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur), Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur), Pokedex(id=None, pokedex_number='1', species='Bulbasaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='1', name_1=Bulba, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur), Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur), Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur), Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur), Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur), Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur), Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur), Pokedex(id=None, pokedex_number='9', species='Blastoise', type_primary='Water', type_secondary='', family='7', family_order='3', name_1=Blast, name_2=toise)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur), Pokedex(id=None, pokedex_number='10', species='Caterpie', type_primary='Bug', type_secondary='', family='10', family_order='1', name_1=Cater, name_2=pie)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander), Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander), Pokedex(id=None, pokedex_number='1', species='Bulbasaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='1', name_1=Bulba, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander), Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander), Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander), Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander), Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander), Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander), Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander), Pokedex(id=None, pokedex_number='9', species='Blastoise', type_primary='Water', type_secondary='', family='7', family_order='3', name_1=Blast, name_2=toise)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander), Pokedex(id=None, pokedex_number='10', species='Caterpie', type_primary='Bug', type_secondary='', family='10', family_order='1', name_1=Cater, name_2=pie)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon), Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon), Pokedex(id=None, pokedex_number='1', species='Bulbasaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='1', name_1=Bulba, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon), Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon), Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon), Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon), Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon), Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon), Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon), Pokedex(id=None, pokedex_number='9', species='Blastoise', type_primary='Water', type_secondary='', family='7', family_order='3', name_1=Blast, name_2=toise)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon), Pokedex(id=None, pokedex_number='10', species='Caterpie', type_primary='Bug', type_secondary='', family='10', family_order='1', name_1=Cater, name_2=pie)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard), Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard), Pokedex(id=None, pokedex_number='1', species='Bulbasaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='1', name_1=Bulba, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard), Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard), Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard), Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard), Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard), Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard), Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard), Pokedex(id=None, pokedex_number='9', species='Blastoise', type_primary='Water', type_secondary='', family='7', family_order='3', name_1=Blast, name_2=toise)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard), Pokedex(id=None, pokedex_number='10', species='Caterpie', type_primary='Bug', type_secondary='', family='10', family_order='1', name_1=Cater, name_2=pie)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle), Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle), Pokedex(id=None, pokedex_number='1', species='Bulbasaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='1', name_1=Bulba, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle), Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle), Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle), Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle), Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle), Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle), Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle), Pokedex(id=None, pokedex_number='9', species='Blastoise', type_primary='Water', type_secondary='', family='7', family_order='3', name_1=Blast, name_2=toise)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle), Pokedex(id=None, pokedex_number='10', species='Caterpie', type_primary='Bug', type_secondary='', family='10', family_order='1', name_1=Cater, name_2=pie)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle), Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle), Pokedex(id=None, pokedex_number='1', species='Bulbasaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='1', name_1=Bulba, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle), Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle), Pokedex(id=None, pokedex_number='3', species='Venusaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='3', name_1=Venu, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle), Pokedex(id=None, pokedex_number='4', species='Charmander', type_primary='Fire', type_secondary='', family='4', family_order='1', name_1=Char, name_2=mander)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle), Pokedex(id=None, pokedex_number='5', species='Charmeleon', type_primary='Fire', type_secondary='', family='4', family_order='2', name_1=Char, name_2=meleon)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle), Pokedex(id=None, pokedex_number='6', species='Charizard', type_primary='Fire', type_secondary='Flying', family='4', family_order='3', name_1=Char, name_2=izard)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle), Pokedex(id=None, pokedex_number='7', species='Squirtle', type_primary='Water', type_secondary='', family='7', family_order='1', name_1=Squirt, name_2=tle)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle), Pokedex(id=None, pokedex_number='9', species='Blastoise', type_primary='Water', type_secondary='', family='7', family_order='3', name_1=Blast, name_2=toise)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='8', species='Wartortle', type_primary='Water', type_secondary='', family='7', family_order='2', name_1=War, name_2=tortle), Pokedex(id=None, pokedex_number='10', species='Caterpie', type_primary='Bug', type_secondary='', family='10', family_order='1', name_1=Cater, name_2=pie)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='9', species='Blastoise', type_primary='Water', type_secondary='', family='7', family_order='3', name_1=Blast, name_2=toise), Pokedex(id=None, pokedex_number='9', species='Blastoise', type_primary='Water', type_secondary='', family='7', family_order='3', name_1=Blast, name_2=toise)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='9', species='Blastoise', type_primary='Water', type_secondary='', family='7', family_order='3', name_1=Blast, name_2=toise), Pokedex(id=None, pokedex_number='1', species='Bulbasaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='1', name_1=Bulba, name_2=saur)) and kwargs: {}
INFO:root:create_fusion ran with args: (Pokedex(id=None, pokedex_number='9', species='Blastoise', type_primary='Water', type_secondary='', family='7', family_order='3', name_1=Blast, name_2=toise), Pokedex(id=None, pokedex_number='2', species='Ivysaur', type_primary='Grass', type_secondary='Poison', family='1', family_order='2', name_1=Ivy, name_2=saur)) and kwargs: {}
